# cpu_brand=Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz
# logical_cores=6
# omp_max_threads=1
# active_threads=1
# build_type=release
# godot_version=4.5-stable (official)
label,run,elapsed_us,map_width,map_height,working_set_bytes,peak_working_set_bytes,private_bytes
hydraulic_cpp,0,3,32,32,350248960,1380020224,2419470336
hydraulic_cpp,0,2251,32,32,350564352,1380020224,2419732480
hydraulic_cpp,1,2,32,32,350568448,1380020224,2419732480
hydraulic_cpp,1,2289,32,32,350576640,1380020224,2419732480
hydraulic_cpp,2,2,32,32,350580736,1380020224,2419736576
hydraulic_cpp,3,1,32,32,350580736,1380020224,2419736576
hydraulic_cpp,4,2,32,32,350580736,1380020224,2419736576
hydraulic_cpp,5,2,32,32,350576640,1380020224,2419732480
hydraulic_cpp,6,1,32,32,350580736,1380020224,2419736576
hydraulic_cpp,7,2,32,32,350580736,1380020224,2419736576
hydraulic_cpp,8,1,32,32,350576640,1380020224,2419732480
hydraulic_cpp,9,2,32,32,350580736,1380020224,2419736576
hydraulic_cpp,0,1,64,64,350683136,1380020224,2419838976
hydraulic_cpp,0,2920,64,64,350928896,1380020224,2420084736
hydraulic_cpp,0,5926,64,64,351469568,1380020224,2420625408
hydraulic_cpp,0,8893,64,64,351469568,1380020224,2420625408
hydraulic_cpp,1,2,64,64,350781440,1380020224,2420539392
hydraulic_cpp,1,2891,64,64,351166464,1380020224,2420625408
hydraulic_cpp,1,5883,64,64,351473664,1380020224,2420625408
hydraulic_cpp,1,8878,64,64,351485952,1380020224,2420625408
hydraulic_cpp,2,2,64,64,350699520,1380020224,2420531200
hydraulic_cpp,2,2731,64,64,350949376,1380020224,2420621312
hydraulic_cpp,2,5737,64,64,351338496,1380020224,2420621312
hydraulic_cpp,2,8699,64,64,351502336,1380020224,2420645888
hydraulic_cpp,3,2,64,64,350793728,1380020224,2420576256
hydraulic_cpp,3,3284,64,64,351350784,1380020224,2420609024
hydraulic_cpp,3,5731,64,64,351588352,1380020224,2420764672
hydraulic_cpp,3,8741,64,64,351612928,1380020224,2420781056
hydraulic_cpp,4,3,64,64,350724096,1380020224,2420580352
hydraulic_cpp,4,2475,64,64,350941184,1380020224,2420764672
hydraulic_cpp,4,5464,64,64,351502336,1380020224,2420772864
hydraulic_cpp,4,8490,64,64,351518720,1380020224,2420772864
hydraulic_cpp,5,2,64,64,350720000,1380020224,2420781056
hydraulic_cpp,5,2592,64,64,351010816,1380020224,2420781056
hydraulic_cpp,5,9286,64,64,351518720,1380020224,2420781056
hydraulic_cpp,5,11578,64,64,351518720,1380020224,2420781056
hydraulic_cpp,6,2,64,64,350711808,1380020224,2420178944
hydraulic_cpp,6,2617,64,64,350871552,1380020224,2420207616
hydraulic_cpp,6,5608,64,64,351494144,1380020224,2420760576
hydraulic_cpp,6,8598,64,64,351514624,1380020224,2420776960
hydraulic_cpp,7,2,64,64,350724096,1380020224,2420654080
hydraulic_cpp,7,2666,64,64,351010816,1380020224,2420764672
hydraulic_cpp,7,5690,64,64,351498240,1380020224,2420764672
hydraulic_cpp,7,8704,64,64,351514624,1380020224,2420764672
hydraulic_cpp,8,2,64,64,350711808,1380020224,2420277248
hydraulic_cpp,8,2546,64,64,351088640,1380020224,2420760576
hydraulic_cpp,8,5538,64,64,351494144,1380020224,2420760576
hydraulic_cpp,8,8544,64,64,351510528,1380020224,2420764672
hydraulic_cpp,9,3,64,64,350711808,1380020224,2420707328
hydraulic_cpp,9,2525,64,64,351158272,1380020224,2420740096
hydraulic_cpp,9,5516,64,64,351498240,1380020224,2420744192
hydraulic_cpp,9,8511,64,64,351514624,1380020224,2420768768
hydraulic_cpp,0,3,128,128,351563776,1380020224,2421051392
hydraulic_cpp,0,3103,128,128,352088064,1380020224,2421321728
hydraulic_cpp,0,5348,128,128,352624640,1380020224,2421874688
hydraulic_cpp,0,8367,128,128,353157120,1380020224,2422423552
hydraulic_cpp,0,11383,128,128,353689600,1380020224,2422972416
hydraulic_cpp,0,14350,128,128,354222080,1380020224,2423521280
hydraulic_cpp,0,17378,128,128,355028992,1380020224,2424348672
hydraulic_cpp,0,20333,128,128,355389440,1380020224,2424692736
hydraulic_cpp,0,23326,128,128,355389440,1380020224,2424692736
hydraulic_cpp,0,26315,128,128,355389440,1380020224,2424692736
hydraulic_cpp,1,3,128,128,351559680,1380020224,2420830208
hydraulic_cpp,1,2265,128,128,351756288,1380020224,2421092352
hydraulic_cpp,1,5259,128,128,352296960,1380020224,2422444032
hydraulic_cpp,1,8251,128,128,353009664,1380020224,2422444032
hydraulic_cpp,1,11241,128,128,353280000,1380020224,2422718464
hydraulic_cpp,1,14236,128,128,353812480,1380020224,2423267328
hydraulic_cpp,1,26740,128,128,354344960,1380020224,2423816192
hydraulic_cpp,1,29194,128,128,354877440,1380020224,2424365056
hydraulic_cpp,1,36483,128,128,355475456,1380020224,2424918016
hydraulic_cpp,1,39208,128,128,355475456,1380020224,2424918016
hydraulic_cpp,1,42158,128,128,355475456,1380020224,2424918016
hydraulic_cpp,1,45152,128,128,355475456,1380020224,2424918016
hydraulic_cpp,1,48149,128,128,355475456,1380020224,2424918016
hydraulic_cpp,1,51135,128,128,355475456,1380020224,2424918016
hydraulic_cpp,1,54126,128,128,355475456,1380020224,2424918016
hydraulic_cpp,2,4,128,128,351100928,1380020224,2420690944
hydraulic_cpp,2,3000,128,128,351727616,1380020224,2421198848
hydraulic_cpp,2,5996,128,128,352387072,1380020224,2422038528
hydraulic_cpp,2,8984,128,128,352919552,1380020224,2422886400
