# cpu_brand=Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz
# logical_cores=6
# omp_max_threads=1
# active_threads=1
# build_type=release
# godot_version=4.5-stable (official)
variant,array_size,run,per_call_us
noop_noargs,0,0,0.022025
noop_int,0,0,0.025647
noop_float,0,0,0.024386
noop_array,256,0,0.052893
noop_array,1024,0,0.052826
noop_array,4096,0,0.052743
noop_array,16384,0,0.054450
noop_array,65536,0,0.055155
noop_array,262144,0,0.059639
noop_mockup,512,0,0.119634
noop_noargs,0,1,0.022928
noop_int,0,1,0.024878
noop_float,0,1,0.024536
noop_array,256,1,0.052863
noop_array,1024,1,0.052873
noop_array,4096,1,0.052329
noop_array,16384,1,0.053412
noop_array,65536,1,0.054492
noop_array,262144,1,0.061802
noop_mockup,512,1,0.119681
noop_noargs,0,2,0.022582
noop_int,0,2,0.024404
noop_float,0,2,0.024274
noop_array,256,2,0.052824
noop_array,1024,2,0.052818
noop_array,4096,2,0.053026
noop_array,16384,2,0.054733
noop_array,65536,2,0.055410
noop_array,262144,2,0.059786
noop_mockup,512,2,0.118521
noop_noargs,0,3,0.022656
noop_int,0,3,0.024426
noop_float,0,3,0.024364
noop_array,256,3,0.056476
noop_array,1024,3,0.051928
noop_array,4096,3,0.052424
noop_array,16384,3,0.053531
noop_array,65536,3,0.054524
noop_array,262144,3,0.058341
noop_mockup,512,3,0.115722
noop_noargs,0,4,0.022309
noop_int,0,4,0.024239
noop_float,0,4,0.023944
noop_array,256,4,0.051707
noop_array,1024,4,0.051749
noop_array,4096,4,0.052244
noop_array,16384,4,0.053606
noop_array,65536,4,0.054496
noop_array,262144,4,0.058552
noop_mockup,512,4,0.116599
noop_noargs,0,5,0.023356
noop_int,0,5,0.024831
noop_float,0,5,0.024563
noop_array,256,5,0.053074
noop_array,1024,5,0.052987
noop_array,4096,5,0.052373
noop_array,16384,5,0.053863
noop_array,65536,5,0.054080
noop_array,262144,5,0.058709
noop_mockup,512,5,0.116007
noop_noargs,0,6,0.022075
noop_int,0,6,0.023856
noop_float,0,6,0.023987
noop_array,256,6,0.051720
noop_array,1024,6,0.052038
noop_array,4096,6,0.051985
noop_array,16384,6,0.053726
noop_array,65536,6,0.054123
noop_array,262144,6,0.059064
noop_mockup,512,6,0.115998
noop_noargs,0,7,0.022322
noop_int,0,7,0.024007
noop_float,0,7,0.023909
noop_array,256,7,0.051883
noop_array,1024,7,0.051774
noop_array,4096,7,0.051942
noop_array,16384,7,0.053608
noop_array,65536,7,0.053995
noop_array,262144,7,0.058606
noop_mockup,512,7,0.115829
noop_noargs,0,8,0.022191
noop_int,0,8,0.024016
noop_float,0,8,0.024147
noop_array,256,8,0.051779
noop_array,1024,8,0.051726
noop_array,4096,8,0.051750
noop_array,16384,8,0.053541
noop_array,65536,8,0.054310
noop_array,262144,8,0.059251
noop_mockup,512,8,0.117495
noop_noargs,0,9,0.022091
noop_int,0,9,0.023891
noop_float,0,9,0.023896
noop_array,256,9,0.052058
noop_array,1024,9,0.055965
noop_array,4096,9,0.052939
noop_array,16384,9,0.054675
noop_array,65536,9,0.054526
noop_array,262144,9,0.058529
noop_mockup,512,9,0.115595
