# cpu_brand=Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz
# logical_cores=6
# omp_max_threads=6
# active_threads=6
# build_type=release
# godot_version=4.5-stable (official)
impl,map_size,iterations_at_once,frame_count,mean_ms,median_ms,p95_ms,iters_per_sec,within_60fps_budget
hydraulic_gds,32,1,10957,0.454463,0.448000,0.560000,2200.397425,true
hydraulic_gds,32,2,9661,0.517293,0.515000,0.654000,3866.279785,true
hydraulic_gds,32,3,8303,0.601908,0.596000,0.768000,4984.147533,true
hydraulic_gds,32,5,6457,0.773929,0.768000,0.993000,6460.542962,true
hydraulic_gds,32,8,5269,0.948121,0.943000,1.206000,8437.739146,true
hydraulic_gds,32,13,3748,1.332823,1.323000,1.705000,9753.734421,true
hydraulic_gds,32,21,2628,1.899975,1.891000,2.348000,11052.779888,true
hydraulic_cpp,32,1,111387,0.044874,0.042000,0.066000,22284.464175,true
hydraulic_cpp,32,2,106643,0.046884,0.043000,0.083000,42658.044629,true
hydraulic_cpp,32,3,104828,0.047696,0.044000,0.077000,62898.158600,true
hydraulic_cpp,32,5,99419,0.050291,0.046000,0.087000,99420.451539,true
hydraulic_cpp,32,8,95964,0.052102,0.047000,0.092000,153546.238656,true
hydraulic_cpp,32,13,70433,0.070988,0.062000,0.121000,183129.425963,true
hydraulic_cpp,32,21,58181,0.085937,0.076000,0.147000,244365.233924,true
hydraulic_gds,64,1,3493,1.409085,1.424000,1.521000,709.680238,true
hydraulic_gds,64,2,3329,1.499941,1.500000,1.600000,1333.385403,true
hydraulic_gds,64,3,3145,1.587515,1.591000,1.719000,1889.745801,true
hydraulic_gds,64,5,2790,1.789150,1.788000,1.981000,2794.623425,true
hydraulic_gds,64,8,2403,2.076896,2.081000,2.316000,3851.902909,true
hydraulic_gds,64,13,1912,2.608322,2.609000,2.914000,4984.047879,true
hydraulic_gds,64,21,1467,3.399014,3.404000,3.782000,6178.262951,true
hydraulic_cpp,64,1,96001,0.052017,0.050000,0.060000,19224.503617,true
hydraulic_cpp,64,2,92857,0.053845,0.051000,0.065000,37143.661733,true
hydraulic_cpp,64,3,90624,0.055172,0.053000,0.064000,54375.759394,true
hydraulic_cpp,64,5,87228,0.057319,0.055000,0.066000,87230.616919,true
hydraulic_cpp,64,8,81334,0.061473,0.059000,0.071000,130137.731526,true
hydraulic_cpp,64,13,74365,0.067234,0.065000,0.079000,193354.645956,true
hydraulic_cpp,64,21,63311,0.078971,0.075000,0.112000,265919.017297,true
hydraulic_gds,128,1,934,5.018289,5.013000,5.190000,199.271103,true
hydraulic_gds,128,2,960,5.186142,5.185000,5.388000,385.643148,true
hydraulic_gds,128,3,943,5.275083,5.274000,5.490000,568.711461,true
hydraulic_gds,128,5,890,5.589601,5.585000,5.859000,894.518211,true
hydraulic_gds,128,8,849,5.856868,5.858000,6.111000,1365.917738,true
hydraulic_gds,128,13,761,6.534355,6.531000,6.864000,1989.484870,true
hydraulic_gds,128,21,677,7.333084,7.338000,7.717000,2863.733654,true
hydraulic_cpp,128,1,69893,0.071218,0.069000,0.080000,14041.460812,true
hydraulic_cpp,128,2,68387,0.073111,0.071000,0.082000,27355.609726,true
hydraulic_cpp,128,3,67412,0.074168,0.072000,0.083000,40448.963575,true
hydraulic_cpp,128,5,64177,0.077907,0.076000,0.088000,64179.169256,true
hydraulic_cpp,128,8,60111,0.083176,0.081000,0.093000,96181.081755,true
hydraulic_cpp,128,13,55543,0.090017,0.088000,0.101000,144417.721127,true
hydraulic_cpp,128,21,48859,0.102329,0.100000,0.115000,205219.702743,true
hydraulic_gds,256,1,192,19.535026,19.530000,19.835000,51.190103,false
hydraulic_gds,256,2,246,19.982215,19.957000,20.292000,100.089002,false
hydraulic_gds,256,3,243,20.223066,20.193000,20.566000,148.345460,false
hydraulic_gds,256,5,239,20.528987,20.525000,20.826000,243.558043,false
hydraulic_gds,256,8,233,21.029777,21.011000,21.353000,380.412977,false
hydraulic_gds,256,13,228,21.560623,21.560000,21.865000,602.951043,false
hydraulic_gds,256,21,218,22.446211,22.425000,23.027000,935.569927,false
