# cpu_brand=Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz
# logical_cores=6
# omp_max_threads=6
# active_threads=6
# build_type=release
# godot_version=4.5-stable (official)
impl,map_size,iterations_at_once,frame_count,mean_ms,median_ms,p95_ms,iters_per_sec,within_60fps_budget
pipe_gds,32,1,932,5.337354,5.297000,5.578000,187.358752,true
pipe_gds,32,2,495,10.018428,9.972000,10.299000,199.632112,true
pipe_gds,32,3,340,14.531065,14.517000,14.989000,206.454245,true
pipe_gds,32,5,212,23.065005,23.039000,23.820000,216.778625,false
pipe_gds,32,8,130,37.028938,36.866000,38.167000,216.047241,false
pipe_gds,32,13,79,59.574190,59.510000,61.879000,218.215305,false
pipe_gds,32,21,48,95.647354,95.463000,97.901000,219.556518,false
pipe_cpp,32,1,52868,0.094567,0.091000,0.125000,10574.507293,true
pipe_cpp,32,2,33964,0.147203,0.138000,0.203000,13586.722263,true
pipe_cpp,32,3,26736,0.186987,0.181000,0.244000,16043.891068,true
pipe_cpp,32,5,17929,0.278827,0.269000,0.337000,17932.238562,true
pipe_cpp,32,8,12236,0.408507,0.391000,0.486000,19583.518139,true
pipe_cpp,32,13,8098,0.617152,0.598000,0.695000,21064.514954,true
pipe_cpp,32,21,5288,0.944890,0.931000,1.033000,22224.801764,true
pipe_optimized,32,1,40612,0.123093,0.119000,0.161000,8123.946799,true
pipe_optimized,32,2,28720,0.174078,0.163000,0.203000,11489.082272,true
pipe_optimized,32,3,25344,0.197245,0.198000,0.236000,15209.502739,true
pipe_optimized,32,5,18841,0.265295,0.259000,0.321000,18846.917932,true
pipe_optimized,32,8,13133,0.380621,0.376000,0.449000,21018.306796,true
pipe_optimized,32,13,9155,0.545907,0.532000,0.630000,23813.563697,true
pipe_optimized,32,21,6148,0.812823,0.788000,0.948000,25835.882076,true
pipe_gds,64,1,233,21.081567,21.003000,21.631000,47.434805,false
pipe_gds,64,2,122,39.590377,39.524000,40.256000,50.517326,false
pipe_gds,64,3,82,57.695159,57.605000,58.670000,51.997431,false
pipe_gds,64,5,49,92.976143,92.684000,95.995000,53.777236,false
pipe_gds,64,8,29,149.102897,148.648000,152.566000,53.654223,false
pipe_gds,64,13,16,242.790687,242.635000,247.607000,53.544064,false
pipe_gds,64,21,8,386.191125,386.001000,390.766000,54.377221,false
pipe_cpp,64,1,19643,0.254500,0.247000,0.315000,3929.275835,true
pipe_cpp,64,2,11489,0.435067,0.426000,0.515000,4596.995648,true
pipe_cpp,64,3,8023,0.622881,0.607000,0.705000,4816.330500,true
pipe_cpp,64,5,5104,0.978923,0.965000,1.066000,5107.655038,true
pipe_cpp,64,8,3281,1.521936,1.524000,1.609000,5256.463891,true
pipe_cpp,64,13,2057,2.425804,2.427000,2.530000,5359.047785,true
pipe_cpp,64,21,1280,3.896058,3.914000,4.007000,5390.063754,true
pipe_optimized,64,1,29525,0.169338,0.170000,0.200000,5905.354321,true
pipe_optimized,64,2,21674,0.230666,0.230000,0.275000,8670.543355,true
pipe_optimized,64,3,16704,0.299266,0.292000,0.365000,10024.539237,true
pipe_optimized,64,5,11545,0.433051,0.427000,0.514000,11545.983718,true
pipe_optimized,64,8,7891,0.633327,0.614000,0.731000,12631.698584,true
pipe_optimized,64,13,5232,0.955114,0.919000,1.115000,13610.941904,true
pipe_optimized,64,21,3536,1.413155,1.375000,1.669000,14860.365874,true
pipe_gds,128,1,54,85.306370,85.244000,87.115000,11.722454,false
pipe_gds,128,2,27,159.538778,159.388000,162.074000,12.536137,false
pipe_gds,128,3,17,232.910882,232.437000,236.793000,12.880463,false
pipe_gds,128,5,9,368.678333,368.133000,371.435000,13.561958,false
pipe_gds,128,8,4,597.651750,597.998000,602.601000,13.385722,false
pipe_gds,128,13,1,952.607000,952.607000,952.607000,13.646761,false
pipe_cpp,128,1,6007,0.831868,0.827000,0.920000,1202.113093,true
pipe_cpp,128,2,3214,1.553908,1.561000,1.673000,1287.077565,true
pipe_cpp,128,3,2190,2.278877,2.291000,2.406000,1316.438043,true
pipe_cpp,128,5,1330,3.747158,3.771000,3.903000,1334.344626,true
pipe_cpp,128,8,832,5.981022,6.042000,6.275000,1337.564130,true
pipe_cpp,128,13,516,9.614822,9.719000,9.995000,1352.079154,true
pipe_cpp,128,21,318,15.556044,15.757000,16.105000,1349.957609,true
pipe_optimized,128,1,16170,0.309136,0.300000,0.373000,3234.821645,true
pipe_optimized,128,2,10013,0.499166,0.486000,0.593000,4006.684877,true
pipe_optimized,128,3,7217,0.692609,0.671000,0.810000,4331.450923,true
pipe_optimized,128,5,4792,1.043037,1.025000,1.177000,4793.692173,true
pipe_optimized,128,8,2960,1.688056,1.582000,2.045000,4739.179990,true
pipe_optimized,128,13,1989,2.511611,2.474000,2.784000,5175.961057,true
pipe_optimized,128,21,1253,3.982057,3.936000,4.411000,5273.656749,true
pipe_gds,256,1,10,337.235700,335.978000,345.636000,2.965285,false
pipe_gds,256,2,3,633.464000,634.320000,634.418000,3.157243,false
pipe_gds,256,3,1,915.787000,915.787000,915.787000,3.275871,false
pipe_cpp,256,1,1652,3.019197,3.037000,3.144000,331.213925,true
pipe_cpp,256,2,851,5.849536,5.838000,6.128000,341.907470,true
pipe_cpp,256,3,579,8.579021,8.615000,8.883000,349.690261,true
pipe_cpp,256,5,348,14.193888,14.301000,14.839000,352.264300,true
pipe_cpp,256,8,217,22.581806,22.662000,23.508000,354.267495,false
pipe_cpp,256,13,132,36.635121,36.649000,38.460000,354.850743,false
pipe_cpp,256,21,80,59.309488,59.323000,61.593000,354.074886,false
pipe_optimized,256,1,5923,0.843708,0.827000,0.981000,1185.243587,true
pipe_optimized,256,2,3395,1.471997,1.436000,1.742000,1358.698371,true
pipe_optimized,256,3,2413,2.070399,2.083000,2.267000,1448.996291,true
pipe_optimized,256,5,1485,3.360948,3.328000,3.793000,1487.675436,true
pipe_optimized,256,8,955,5.225510,5.242000,5.608000,1530.951061,true
pipe_optimized,256,13,662,7.520066,7.467000,8.132000,1728.708125,true
pipe_optimized,256,21,480,10.348085,10.296000,10.913000,2029.360906,true
pipe_cpp,512,1,381,12.991551,13.078000,13.574000,76.973102,true
pipe_cpp,512,2,198,24.761535,24.709000,25.345000,80.770436,false
pipe_cpp,512,3,133,36.303053,36.224000,37.464000,82.637679,false
pipe_cpp,512,5,81,58.904370,58.648000,60.503000,84.883345,false
pipe_cpp,512,8,49,94.332061,94.163000,96.012000,84.806797,false
pipe_cpp,512,13,28,153.602607,152.384000,164.483000,84.633980,false
pipe_cpp,512,21,16,245.322563,245.344000,258.391000,85.601584,false
pipe_optimized,512,1,1267,3.935092,3.855000,4.502000,254.123693,true
pipe_optimized,512,2,744,6.698633,6.630000,7.613000,298.568377,true
pipe_optimized,512,3,555,8.952494,8.911000,9.723000,335.102163,true
pipe_optimized,512,5,397,12.487708,12.369000,13.599000,400.393737,true
pipe_optimized,512,8,276,17.879982,17.582000,20.285000,447.427746,false
pipe_optimized,512,13,185,26.564562,26.084000,30.350000,489.373772,false
pipe_optimized,512,21,121,39.986975,39.265000,45.122000,525.171006,false
