# cpu_brand=Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz
# logical_cores=6
# omp_max_threads=6
# active_threads=6
# build_type=release
# godot_version=4.5-stable (official)
caller,thread_id,function,duration_us,threads_used,map_width,map_height
pipe_optimized,3566507971064169796,erode,120,1,32,32
pipe_optimized,3566507971064169796,erode,74,1,32,32
pipe_optimized,3566507971064169796,erode,73,1,32,32
pipe_optimized,3566507971064169796,erode,72,1,32,32
pipe_optimized,3566507971064169796,erode,72,1,32,32
pipe_optimized,3566507971064169796,erode,72,1,32,32
pipe_optimized,3566507971064169796,erode,77,1,32,32
pipe_optimized,3566507971064169796,erode,76,1,32,32
pipe_optimized,3566507971064169796,erode,73,1,32,32
pipe_optimized,3566507971064169796,erode,72,1,32,32
pipe_optimized,3566507971064169796,erode,327,2,32,32
pipe_optimized,3566507971064169796,erode,57,2,32,32
pipe_optimized,3566507971064169796,erode,57,2,32,32
pipe_optimized,3566507971064169796,erode,60,2,32,32
pipe_optimized,3566507971064169796,erode,55,2,32,32
pipe_optimized,3566507971064169796,erode,48,2,32,32
pipe_optimized,3566507971064169796,erode,50,2,32,32
pipe_optimized,3566507971064169796,erode,49,2,32,32
pipe_optimized,3566507971064169796,erode,52,2,32,32
pipe_optimized,3566507971064169796,erode,50,2,32,32
pipe_optimized,3566507971064169796,erode,424,4,32,32
pipe_optimized,3566507971064169796,erode,57,4,32,32
pipe_optimized,3566507971064169796,erode,51,4,32,32
pipe_optimized,3566507971064169796,erode,63,4,32,32
pipe_optimized,3566507971064169796,erode,55,4,32,32
pipe_optimized,3566507971064169796,erode,39,4,32,32
pipe_optimized,3566507971064169796,erode,47,4,32,32
pipe_optimized,3566507971064169796,erode,52,4,32,32
pipe_optimized,3566507971064169796,erode,39,4,32,32
pipe_optimized,3566507971064169796,erode,45,4,32,32
pipe_optimized,3566507971064169796,erode,659,6,32,32
pipe_optimized,3566507971064169796,erode,85,6,32,32
pipe_optimized,3566507971064169796,erode,73,6,32,32
pipe_optimized,3566507971064169796,erode,65,6,32,32
pipe_optimized,3566507971064169796,erode,73,6,32,32
pipe_optimized,3566507971064169796,erode,129,6,32,32
pipe_optimized,3566507971064169796,erode,82,6,32,32
pipe_optimized,3566507971064169796,erode,67,6,32,32
pipe_optimized,3566507971064169796,erode,71,6,32,32
pipe_optimized,3566507971064169796,erode,71,6,32,32
pipe_optimized,3566507971064169796,erode,992,1,64,64
pipe_optimized,3566507971064169796,erode,843,1,64,64
pipe_optimized,3566507971064169796,erode,891,1,64,64
pipe_optimized,3566507971064169796,erode,841,1,64,64
pipe_optimized,3566507971064169796,erode,835,1,64,64
pipe_optimized,3566507971064169796,erode,832,1,64,64
pipe_optimized,3566507971064169796,erode,831,1,64,64
pipe_optimized,3566507971064169796,erode,838,1,64,64
pipe_optimized,3566507971064169796,erode,829,1,64,64
pipe_optimized,3566507971064169796,erode,831,1,64,64
pipe_optimized,3566507971064169796,erode,786,2,64,64
pipe_optimized,3566507971064169796,erode,523,2,64,64
pipe_optimized,3566507971064169796,erode,567,2,64,64
pipe_optimized,3566507971064169796,erode,482,2,64,64
pipe_optimized,3566507971064169796,erode,480,2,64,64
pipe_optimized,3566507971064169796,erode,480,2,64,64
pipe_optimized,3566507971064169796,erode,478,2,64,64
pipe_optimized,3566507971064169796,erode,478,2,64,64
pipe_optimized,3566507971064169796,erode,498,2,64,64
pipe_optimized,3566507971064169796,erode,490,2,64,64
pipe_optimized,3566507971064169796,erode,691,4,64,64
